Title,Genre(s),Developer(s),Publisher(s),Release date,Addons,Ref.
Little Nightmares 2,"Puzzle-platformer
survival horror",Tarsier Studios,Bandai Namco Entertainment,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB,
"<span data-sort-value=""Lord of the Rings: Gollum !"">The Lord of the Rings: Gollum",Action-adventure,Daedalic Entertainment,Daedalic Entertainment,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Lords of the Fallen 2,Action role-playing,Hexworks,CI Games,TBA,TBA,TBA,,[10]
Madden NFL 21,Sports,EA Tiburon,Electronic Arts,"<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020","<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020","<span data-sort-value=""000000002020-12-04-0000"" style=""white-space:nowrap"">Dec 4, 2020",˄ [c] CP,
Maneater,Action role-playing,"Tripwire Interactive
Blindside Interactive","Tripwire Interactive
Deep Silver","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Maquette,Puzzle,Graceful Decay,Annapurna Interactive,TBA,TBA,TBA,,[4]
Marvel's Avengers,Action-adventure,Crystal Dynamics,Square Enix,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",CB CP,
Marvel's Spider-Man: Miles Morales,Action-adventure,Insomniac Games,Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Marvel's Spider-Man: Remastered,Action-adventure,Insomniac Games,Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Megaton Musashi,Action role-playing,Level-5,Level-5,TBA,Unreleased,Unreleased,,[11]
MicroMan,"Action-adventure
survival",Glob Games Studios,Glob Games Studios,TBA,TBA,TBA,,[12]
Monster Boy and the Cursed Kingdom,Platform,Game Atelier,FDG Entertainment,TBA,TBA,TBA,CB,
Mortal Kombat 11,Fighting,NetherRealm Studios,WB Games,Unreleased,"<span data-sort-value=""000000002020-11-17-0000"" style=""white-space:nowrap"">Nov 17, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB CP,
MXGP 2020,Racing,Milestone srl,Milestone srl,"<span data-sort-value=""000000002021-01-14-0000"" style=""white-space:nowrap"">Jan 14, 2021","<span data-sort-value=""000000002021-01-14-0000"" style=""white-space:nowrap"">Jan 14, 2021","<span data-sort-value=""000000002021-01-14-0000"" style=""white-space:nowrap"">Jan 14, 2021",,[13][14]
My Time at Sandrock,"Role-playing
simulation",Pathea Games,Pathea Games,"<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022",,
NBA 2K21,Sports,Visual Concepts,2K Sports,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Neptunia Shooter,Shoot 'em up,Idea Factory International,Idea Factory,"<span data-sort-value=""000000002020-12-17-0000"" style=""white-space:nowrap"">Dec 17, 2020",TBA,TBA,,
Nioh Remastered,"Action role-playing
hack and slash",Team Ninja,"Sony Interactive Entertainment
Koei Tecmo","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021",,
Nioh 2 Remastered,"Action role-playing
hack and slash",Team Ninja,"Sony Interactive Entertainment
Koei Tecmo","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021","<span data-sort-value=""000000002021-02-05-0000"" style=""white-space:nowrap"">Feb 5, 2021",CB,
No Man's Sky,"Action-adventure
survival",Hello Games,Hello Games,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB CP,
Nour: Play With Your Food,Exploration,Terrifying Jellyfish,Panic,TBA,TBA,TBA,,
Observer: System Redux,Psychological horror,Bloober Team,Aspyr,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Oddworld: Soulstorm,Platform,Oddworld Inhabitants,Oddworld Inhabitants,TBA,TBA,TBA,,
Outriders,Third-person shooter,People Can Fly,Square Enix,"<span data-sort-value=""000000002021-02-02-0000"" style=""white-space:nowrap"">Feb 2, 2021","<span data-sort-value=""000000002021-02-02-0000"" style=""white-space:nowrap"">Feb 2, 2021","<span data-sort-value=""000000002021-02-02-0000"" style=""white-space:nowrap"">Feb 2, 2021",CB CP,
Overcooked! All You Can Eat,"Action
family","Ghost Town Games
Team17",Team17,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CP,
Override 2: Super Mech League,Beat 'em up,Modus Studios Brazil,Modus Games,"<span data-sort-value=""000000002020-12-22-0000"" style=""white-space:nowrap"">Dec 22, 2020","<span data-sort-value=""000000002020-12-22-0000"" style=""white-space:nowrap"">Dec 22, 2020","<span data-sort-value=""000000002020-12-22-0000"" style=""white-space:nowrap"">Dec 22, 2020",,
Paradise Lost,Action-adventure,PolyAmorous,All in! Games,"<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020",,[4]
Party Crasher Simulator,Simulation,Glob Games Studio,Glob Games Studio,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[15]
"<span data-sort-value=""Pathless !"">The Pathless",Action-adventure,Giant Squid,Annapurna Interactive,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
"<span data-sort-value=""Pedestrian !"">The Pedestrian",Puzzle platformer,Skookum Arts,Skookum Arts,TBA,"<span data-sort-value=""000000002021-01-01-0000"" style=""white-space:nowrap"">Jan 2021","<span data-sort-value=""000000002021-01-01-0000"" style=""white-space:nowrap"">Jan 2021",,
Planet Coaster: Console Edition,Construction and management simulation,Frontier Developments,Frontier Developments,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Poker Club,Poker,Ripstone,Ripstone,TBA,"<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020",CB CP,[4]
Praey for the Gods,"Action-adventure
survival",No Matter Studios,No Matter Studios,"<span data-sort-value=""000000002021-03-31-0000"">Q1 2021","<span data-sort-value=""000000002021-03-31-0000"">Q1 2021","<span data-sort-value=""000000002021-03-31-0000"">Q1 2021",CB,
Pragmata,TBA,Capcom,Capcom,"<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022",,
Project Athia,TBA,Luminous Productions,Square Enix,TBA,TBA,TBA,,
Psikyo Shooting Collection,"Arcade
shoot 'em up",Zerodiv,City Connection,TBA,TBA,TBA,,[16]
Puyo Puyo Tetris 2,Puzzle,Sonic Team,Sega,"<span data-sort-value=""000000002020-12-10-0000"" style=""white-space:nowrap"">Dec 10, 2020","<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020","<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020",CB,
Quantum Error,First-person shooter,TeamKill Media,TeamKill Media,TBA,TBA,TBA,,[4]
Ratchet & Clank: Rift Apart,"Action-adventure
platform",Insomniac Games,Sony Interactive Entertainment,"<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021","<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021","<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021",,
Recompile,Platformer,Phigames,Phigames,TBA,TBA,TBA,,[4]
Resident Evil Village,Survival horror,Capcom,Capcom,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Returnal,Third-person shooter,Housemarque,Sony Interactive Entertainment,"<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021","<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021","<span data-sort-value=""000000002021-03-32-0000"">Q1/Q2 2021",,
Romancelvania: BATchelor's Curse,"Metroidvania
base-building",Deep End Games,Deep End Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[17]
Roots of Pacha,"Role-playing
farming simulation",Soda Den,Crytivo,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[18]
Ride 4,Racing,Milestone srl,Milestone srl,"<span data-sort-value=""000000002021-01-21-0000"" style=""white-space:nowrap"">Jan 21, 2021","<span data-sort-value=""000000002021-01-21-0000"" style=""white-space:nowrap"">Jan 21, 2021","<span data-sort-value=""000000002021-01-21-0000"" style=""white-space:nowrap"">Jan 21, 2021",,
Riders Republic,Racing,Ubisoft Annecy,Ubisoft,"<span data-sort-value=""000000002021-02-25-0000"" style=""white-space:nowrap"">Feb 25, 2021","<span data-sort-value=""000000002021-02-25-0000"" style=""white-space:nowrap"">Feb 25, 2021","<span data-sort-value=""000000002021-02-25-0000"" style=""white-space:nowrap"">Feb 25, 2021",CB,
Ruined King: A League of Legends Story,Role-playing,Airship Syndicate,Riot Forge,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Sackboy: A Big Adventure,3D platformer,Sumo Digital,Sony Interactive Entertainment,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB CP [e],
Scarlet Nexus,Action-adventure,Bandai Namco Studios,Bandai Namco Entertainment,TBA,TBA,TBA,,
Sengoku Basara 5,Hack and Slash,Capcom,Capcom,"<span data-sort-value=""000000002021-13-31-0000"">2021",TBA,TBA,,
Sherlock Holmes: Chapter One,Adventure,Frogwares,Frogwares,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Solar Ash,Action-adventure,Heart Machine,Annapurna Interactive,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Spacelords,Action-adventure,MercurySteam,MercurySteam,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
Spirit of the North: Enhanced Edition,Adventure,Infuse Studio,Merge Games,"<span data-sort-value=""000000002020-11-26-0000"" style=""white-space:nowrap"">Nov 26, 2020","<span data-sort-value=""000000002020-11-26-0000"" style=""white-space:nowrap"">Nov 26, 2020","<span data-sort-value=""000000002020-11-26-0000"" style=""white-space:nowrap"">Nov 26, 2020",,[19]
Steelrising,"Action role-playing
souls-like",Spiders,Nacon,TBA,TBA,TBA,,[4]
"<span data-sort-value=""Stone of Madness !"">The Stone of Madness","Strategy
stealth",Teku Studios,Merge Games,TBA,TBA,TBA,,
Stray,"Adventure
puzzle",BlueTwelve,Annapurna Interactive,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Suicide Squad: Kill the Justice League,Action-adventure,Rocksteady Studios,WB Games,"<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022","<span data-sort-value=""000000002022-13-31-0000"">2022",,
Sword of the Necromancer,"Roguelike
role-playing",Grimorio of Games,JanduSoft,TBA,TBA,TBA,,[20]
Temtem,"Adventure
creature collection",Crema,Humble Games,"<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020","<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020","<span data-sort-value=""000000002020-12-08-0000"" style=""white-space:nowrap"">Dec 8, 2020",,
Test Drive Unlimited Solar Crown,Racing,Kylotonn,Nacon,TBA,TBA,TBA,,
Tom Clancy's Rainbow Six Quarantine,Tactical shooter,Ubisoft Montreal,Ubisoft,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Tom Clancy's Rainbow Six Siege,Tactical shooter,Ubisoft Montreal,Ubisoft,"<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020",CB,
Tribes of Midgard,Survival,Norsfell,Gearbox Publishing,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Ultimate Fishing Simulator 2,"Fishing
simulation",MasterCode,Ultimate Games,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[21]
Unknown 9: Awakening,Action-adventure,Reflector Entertainment,TBA,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[4]
Vampire: The Masquerade – Bloodlines 2,Action role-playing,Hardsuit Labs,Paradox Interactive,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Vampire: The Masquerade – Swansong,Action role-playing,Big Bad Wolf,Nacon,TBA,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,
Vigor,Loot shooter,Bohemia Interactive,Bohemia Interactive,"<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020",,
Watch Dogs: Legion,Action-adventure,Ubisoft Toronto,Ubisoft,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Warframe,Action role-playing,Digital Extremes,Digital Extremes,"<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020","<span data-sort-value=""000000002020-13-31-0000"">2020",,
Warhammer: Chaosbane,"Action role-playing
hack and slash",Eko Software,Bigben Interactive,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",,
War Mongrels,Real-time tactics,Destructive Creations,All in! Games,"<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021","<span data-sort-value=""000000002021-13-31-0000"">2021",,[22]
War Thunder,"Action
vehicular combat
combat flight simulator",Gaijin Entertainment,Gaijin Entertainment,"<span data-sort-value=""000000002020-11-01-0000"" style=""white-space:nowrap"">Nov 2020","<span data-sort-value=""000000002020-11-01-0000"" style=""white-space:nowrap"">Nov 2020","<span data-sort-value=""000000002020-11-01-0000"" style=""white-space:nowrap"">Nov 2020",CB,
Werewolf: The Apocalypse – Earthblood,Action role-playing,Cyanide,Nacon,TBA,"<span data-sort-value=""000000002021-02-04-0000"" style=""white-space:nowrap"">Feb 4, 2021","<span data-sort-value=""000000002021-02-04-0000"" style=""white-space:nowrap"">Feb 4, 2021",,
"<span data-sort-value=""Witcher 3: Wild Hunt !"">The Witcher 3: Wild Hunt",Action role-playing,"CD Projekt Red
Saber Interactive",CD Projekt,TBA,TBA,TBA,CB,
Worms Rumble,"Artillery
battle royale
strategy",Team17,Team17,"<span data-sort-value=""000000002020-12-01-0000"" style=""white-space:nowrap"">Dec 1, 2020","<span data-sort-value=""000000002020-12-01-0000"" style=""white-space:nowrap"">Dec 1, 2020","<span data-sort-value=""000000002020-12-01-0000"" style=""white-space:nowrap"">Dec 1, 2020",CP,
WRC 9,"Racing
simulation",Kylotonn,Nacon,"<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-12-0000"" style=""white-space:nowrap"">Nov 12, 2020","<span data-sort-value=""000000002020-11-19-0000"" style=""white-space:nowrap"">Nov 19, 2020",CB,
Yakuza: Like a Dragon,Role-playing,Ryu Ga Gotoku Studio,Sega,TBA,"<span data-sort-value=""000000002021-03-02-0000"" style=""white-space:nowrap"">Mar 2, 2021","<span data-sort-value=""000000002021-03-02-0000"" style=""white-space:nowrap"">Mar 2, 2021",CB,
